dept,endsite,time,m,w,num
8,260,2016-01-02,1,6,542
8,260,2016-01-03,1,7,770
8,260,2016-01-04,1,1,481
8,260,2016-01-05,1,2,472
8,260,2016-01-06,1,3,453
8,260,2016-01-07,1,4,434
8,260,2016-01-08,1,5,448
8,260,2016-01-09,1,6,486
8,260,2016-01-10,1,7,493
8,260,2016-01-11,1,1,492
8,260,2016-01-12,1,2,458
8,260,2016-01-13,1,3,458
8,260,2016-01-14,1,4,509
8,260,2016-01-15,1,5,627
8,260,2016-01-16,1,6,636
8,260,2016-01-17,1,7,560
8,260,2016-01-18,1,1,516
8,260,2016-01-19,1,2,492
8,260,2016-01-20,1,3,551
8,260,2016-01-21,1,4,488
8,260,2016-01-22,1,5,492
8,260,2016-01-23,1,6,490
8,260,2016-01-24,1,7,482
8,260,2016-01-25,1,1,552
8,260,2016-01-26,1,2,523
8,260,2016-01-27,1,3,620
8,260,2016-01-28,1,4,691
8,260,2016-01-29,1,5,679
8,260,2016-01-30,1,6,776
8,260,2016-01-31,1,7,741
8,260,2016-02-01,2,1,764
8,260,2016-02-02,2,2,854
8,260,2016-02-03,2,3,907
8,260,2016-02-04,2,4,957
8,260,2016-02-05,2,5,992
8,260,2016-02-06,2,6,830
8,260,2016-02-07,2,7,430
8,260,2016-02-08,2,1,381
8,260,2016-02-09,2,2,543
8,260,2016-02-10,2,3,502
8,260,2016-02-11,2,4,484
8,260,2016-02-12,2,5,470
8,260,2016-02-13,2,6,503
8,260,2016-02-14,2,7,597
8,260,2016-02-15,2,1,576
8,260,2016-02-16,2,2,548
8,260,2016-02-17,2,3,549
8,260,2016-02-18,2,4,575
8,260,2016-02-19,2,5,604
8,260,2016-02-20,2,6,588
8,260,2016-02-21,2,7,580
8,260,2016-02-22,2,1,432
8,260,2016-02-23,2,2,863
8,260,2016-02-24,2,3,913
8,260,2016-02-25,2,4,532
8,260,2016-02-26,2,5,571
8,260,2016-02-27,2,6,565
8,260,2016-02-28,2,7,596
8,260,2016-02-29,2,1,607
8,260,2016-03-01,3,2,532
8,260,2016-03-02,3,3,509
8,260,2016-03-03,3,4,586
8,260,2016-03-04,3,5,615
8,260,2016-03-05,3,6,616
8,260,2016-03-06,3,7,656
8,260,2016-03-07,3,1,553
8,260,2016-03-08,3,2,436
8,260,2016-03-09,3,3,497
8,260,2016-03-10,3,4,479
8,260,2016-03-11,3,5,618
8,260,2016-03-12,3,6,609
8,260,2016-03-13,3,7,628
8,260,2016-03-14,3,1,599
8,260,2016-03-15,3,2,478
8,260,2016-03-16,3,3,484
8,260,2016-03-17,3,4,480
8,260,2016-03-18,3,5,562
8,260,2016-03-19,3,6,639
8,260,2016-03-20,3,7,622
8,260,2016-03-21,3,1,552
8,260,2016-03-22,3,2,440
8,260,2016-03-23,3,3,434
8,260,2016-03-24,3,4,423
8,260,2016-03-25,3,5,580
8,260,2016-03-26,3,6,593
8,260,2016-03-27,3,7,580
8,260,2016-03-28,3,1,549
8,260,2016-03-29,3,2,467
8,260,2016-03-30,3,3,513
8,260,2016-03-31,3,4,597
8,260,2016-04-01,4,5,1173
8,260,2016-04-02,4,6,1424
8,260,2016-04-03,4,7,962
8,260,2016-04-04,4,1,719
8,260,2016-04-05,4,2,561
8,260,2016-04-06,4,3,409
8,260,2016-04-07,4,4,409
8,260,2016-04-08,4,5,447
8,260,2016-04-09,4,6,443
8,260,2016-04-10,4,7,511
8,260,2016-04-11,4,1,519
8,260,2016-04-12,4,2,488
8,260,2016-04-13,4,3,427
8,260,2016-04-14,4,4,414
8,260,2016-04-15,4,5,492
8,260,2016-04-16,4,6,529
8,260,2016-04-17,4,7,506
8,260,2016-04-18,4,1,476
8,260,2016-04-19,4,2,490
8,260,2016-04-20,4,3,402
8,260,2016-04-21,4,4,432
8,260,2016-04-22,4,5,428
8,260,2016-04-23,4,6,530
8,260,2016-04-24,4,7,580
8,260,2016-04-25,4,1,476
8,260,2016-04-26,4,2,427
8,260,2016-04-27,4,3,443
8,260,2016-04-28,4,4,557
8,260,2016-04-29,4,5,975
8,260,2016-04-30,4,6,1169
8,260,2016-05-01,5,7,845
8,260,2016-05-02,5,1,993
8,260,2016-05-03,5,2,624
8,260,2016-05-04,5,3,480
8,260,2016-05-05,5,4,474
8,260,2016-05-06,5,5,479
8,260,2016-05-07,5,6,444
8,260,2016-05-08,5,7,439
8,260,2016-05-09,5,1,459
8,260,2016-05-10,5,2,484
8,260,2016-05-11,5,3,460
8,260,2016-05-12,5,4,383
8,260,2016-05-13,5,5,497
8,260,2016-05-14,5,6,458
8,260,2016-05-15,5,7,475
8,260,2016-05-16,5,1,453
8,260,2016-05-17,5,2,455
8,260,2016-05-18,5,3,505
8,260,2016-05-19,5,4,486
8,260,2016-05-20,5,5,530
8,260,2016-05-21,5,6,519
8,260,2016-05-22,5,7,500
8,260,2016-05-23,5,1,463
8,260,2016-05-24,5,2,458
8,260,2016-05-25,5,3,472
8,260,2016-05-26,5,4,393
8,260,2016-05-27,5,5,552
8,260,2016-05-28,5,6,451
8,260,2016-05-29,5,7,512
8,260,2016-05-30,5,1,473
8,260,2016-05-31,5,2,456
10,260,2016-01-01,1,5,15
10,260,2016-01-02,1,6,11
10,260,2016-01-03,1,7,20
10,260,2016-01-04,1,1,9
10,260,2016-01-05,1,2,7
10,260,2016-01-06,1,3,6
10,260,2016-01-07,1,4,10
10,260,2016-01-08,1,5,7
10,260,2016-01-09,1,6,6
10,260,2016-01-10,1,7,10
10,260,2016-01-11,1,1,10
10,260,2016-01-12,1,2,7
10,260,2016-01-13,1,3,6
10,260,2016-01-14,1,4,6
10,260,2016-01-15,1,5,11
10,260,2016-01-16,1,6,11
10,260,2016-01-17,1,7,13
10,260,2016-01-18,1,1,16
10,260,2016-01-19,1,2,13
10,260,2016-01-20,1,3,8
10,260,2016-01-21,1,4,11
10,260,2016-01-22,1,5,8
10,260,2016-01-23,1,6,15
10,260,2016-01-24,1,7,8
10,260,2016-01-25,1,1,8
10,260,2016-01-26,1,2,12
10,260,2016-01-27,1,3,14
10,260,2016-01-28,1,4,8
10,260,2016-01-29,1,5,6
10,260,2016-01-30,1,6,16
10,260,2016-01-31,1,7,18
10,260,2016-02-01,2,1,10
10,260,2016-02-02,2,2,15
10,260,2016-02-03,2,3,14
10,260,2016-02-04,2,4,14
10,260,2016-02-05,2,5,15
10,260,2016-02-06,2,6,13
10,260,2016-02-07,2,7,6
10,260,2016-02-08,2,1,7
10,260,2016-02-09,2,2,7
10,260,2016-02-10,2,3,5
10,260,2016-02-11,2,4,11
10,260,2016-02-12,2,5,15
10,260,2016-02-13,2,6,7
10,260,2016-02-14,2,7,11
10,260,2016-02-15,2,1,8
10,260,2016-02-16,2,2,20
10,260,2016-02-17,2,3,9
10,260,2016-02-18,2,4,9
10,260,2016-02-19,2,5,11
10,260,2016-02-20,2,6,11
10,260,2016-02-21,2,7,8
10,260,2016-02-22,2,1,6
10,260,2016-02-23,2,2,8
10,260,2016-02-24,2,3,15
10,260,2016-02-25,2,4,11
10,260,2016-02-26,2,5,10
10,260,2016-02-27,2,6,16
10,260,2016-02-28,2,7,6
10,260,2016-02-29,2,1,8
10,260,2016-03-01,3,2,13
10,260,2016-03-02,3,3,13
10,260,2016-03-03,3,4,4
10,260,2016-03-04,3,5,11
10,260,2016-03-05,3,6,5
10,260,2016-03-06,3,7,12
10,260,2016-03-07,3,1,13
10,260,2016-03-08,3,2,10
10,260,2016-03-09,3,3,13
10,260,2016-03-10,3,4,9
10,260,2016-03-11,3,5,12
10,260,2016-03-12,3,6,3
10,260,2016-03-13,3,7,20
10,260,2016-03-14,3,1,7
10,260,2016-03-15,3,2,6
10,260,2016-03-16,3,3,15
10,260,2016-03-17,3,4,4
10,260,2016-03-18,3,5,7
10,260,2016-03-19,3,6,8
10,260,2016-03-20,3,7,14
10,260,2016-03-21,3,1,10
10,260,2016-03-22,3,2,6
10,260,2016-03-23,3,3,3
10,260,2016-03-24,3,4,5
10,260,2016-03-25,3,5,3
10,260,2016-03-26,3,6,3
10,260,2016-03-27,3,7,11
10,260,2016-03-28,3,1,9
10,260,2016-03-29,3,2,6
10,260,2016-03-30,3,3,6
10,260,2016-03-31,3,4,8
10,260,2016-04-01,4,5,8
10,260,2016-04-02,4,6,12
10,260,2016-04-03,4,7,19
10,260,2016-04-04,4,1,8
10,260,2016-04-05,4,2,6
10,260,2016-04-06,4,3,6
10,260,2016-04-07,4,4,10
10,260,2016-04-08,4,5,5
10,260,2016-04-09,4,6,2
10,260,2016-04-10,4,7,7
10,260,2016-04-11,4,1,11
10,260,2016-04-12,4,2,7
10,260,2016-04-13,4,3,2
10,260,2016-04-14,4,4,3
10,260,2016-04-15,4,5,9
10,260,2016-04-16,4,6,7
10,260,2016-04-17,4,7,11
10,260,2016-04-18,4,1,7
10,260,2016-04-19,4,2,6
10,260,2016-04-20,4,3,3
10,260,2016-04-21,4,4,7
10,260,2016-04-22,4,5,2
10,260,2016-04-23,4,6,5
10,260,2016-04-24,4,7,9
10,260,2016-04-25,4,1,7
10,260,2016-04-26,4,2,12
10,260,2016-04-27,4,3,16
10,260,2016-04-28,4,4,3
10,260,2016-04-29,4,5,28
10,260,2016-04-30,4,6,15
10,260,2016-05-01,5,7,10
10,260,2016-05-02,5,1,6
10,260,2016-05-03,5,2,12
10,260,2016-05-04,5,3,6
10,260,2016-05-05,5,4,6
10,260,2016-05-06,5,5,5
10,260,2016-05-07,5,6,6
10,260,2016-05-08,5,7,4
10,260,2016-05-09,5,1,2
10,260,2016-05-10,5,2,6
10,260,2016-05-11,5,3,4
10,260,2016-05-12,5,4,7
10,260,2016-05-13,5,5,4
10,260,2016-05-14,5,6,6
10,260,2016-05-15,5,7,4
10,260,2016-05-16,5,1,10
10,260,2016-05-17,5,2,7
10,260,2016-05-18,5,3,2
10,260,2016-05-19,5,4,8
10,260,2016-05-20,5,5,3
10,260,2016-05-21,5,6,13
10,260,2016-05-22,5,7,9
10,260,2016-05-23,5,1,4
10,260,2016-05-24,5,2,4
10,260,2016-05-25,5,3,3
10,260,2016-05-26,5,4,7
10,260,2016-05-27,5,5,4
10,260,2016-05-28,5,6,3
10,260,2016-05-29,5,7,15
10,260,2016-05-30,5,1,2
10,260,2016-05-31,5,2,11
11,260,2016-01-01,1,5,76
11,260,2016-01-02,1,6,67
11,260,2016-01-03,1,7,89
11,260,2016-01-04,1,1,42
11,260,2016-01-05,1,2,54
11,260,2016-01-06,1,3,51
11,260,2016-01-07,1,4,46
11,260,2016-01-08,1,5,37
11,260,2016-01-09,1,6,72
11,260,2016-01-10,1,7,64
11,260,2016-01-11,1,1,60
11,260,2016-01-12,1,2,70
11,260,2016-01-13,1,3,74
11,260,2016-01-14,1,4,108
11,260,2016-01-15,1,5,116
11,260,2016-01-16,1,6,138
11,260,2016-01-17,1,7,119
11,260,2016-01-18,1,1,116
11,260,2016-01-19,1,2,85
11,260,2016-01-20,1,3,109
11,260,2016-01-21,1,4,133
11,260,2016-01-22,1,5,148
11,260,2016-01-23,1,6,146
11,260,2016-01-24,1,7,202
11,260,2016-01-25,1,1,219
11,260,2016-01-26,1,2,236
11,260,2016-01-27,1,3,295
11,260,2016-01-28,1,4,267
11,260,2016-01-29,1,5,300
11,260,2016-01-30,1,6,275
11,260,2016-01-31,1,7,307
11,260,2016-02-01,2,1,314
11,260,2016-02-02,2,2,301
11,260,2016-02-03,2,3,370
11,260,2016-02-04,2,4,334
11,260,2016-02-05,2,5,348
11,260,2016-02-06,2,6,290
11,260,2016-02-07,2,7,99
11,260,2016-02-08,2,1,51
11,260,2016-02-09,2,2,88
11,260,2016-02-10,2,3,107
11,260,2016-02-11,2,4,87
11,260,2016-02-12,2,5,118
11,260,2016-02-13,2,6,160
11,260,2016-02-14,2,7,137
11,260,2016-02-15,2,1,124
11,260,2016-02-16,2,2,113
11,260,2016-02-17,2,3,176
11,260,2016-02-18,2,4,75
11,260,2016-02-19,2,5,110
11,260,2016-02-20,2,6,90
11,260,2016-02-21,2,7,91
11,260,2016-02-22,2,1,58
11,260,2016-02-23,2,2,154
11,260,2016-02-24,2,3,186
11,260,2016-02-25,2,4,109
11,260,2016-02-26,2,5,81
11,260,2016-02-27,2,6,74
11,260,2016-02-28,2,7,72
11,260,2016-02-29,2,1,56
11,260,2016-03-01,3,2,72
11,260,2016-03-02,3,3,71
11,260,2016-03-03,3,4,69
11,260,2016-03-04,3,5,61
11,260,2016-03-05,3,6,54
11,260,2016-03-06,3,7,74
11,260,2016-03-07,3,1,48
11,260,2016-03-08,3,2,67
11,260,2016-03-09,3,3,52
11,260,2016-03-10,3,4,60
11,260,2016-03-11,3,5,62
11,260,2016-03-12,3,6,70
11,260,2016-03-13,3,7,71
11,260,2016-03-14,3,1,74
11,260,2016-03-15,3,2,51
11,260,2016-03-16,3,3,55
11,260,2016-03-17,3,4,57
11,260,2016-03-18,3,5,55
11,260,2016-03-19,3,6,61
11,260,2016-03-20,3,7,54
11,260,2016-03-21,3,1,50
11,260,2016-03-22,3,2,49
11,260,2016-03-23,3,3,58
11,260,2016-03-24,3,4,70
11,260,2016-03-25,3,5,72
11,260,2016-03-26,3,6,51
11,260,2016-03-27,3,7,71
11,260,2016-03-28,3,1,69
11,260,2016-03-29,3,2,65
11,260,2016-03-30,3,3,78
11,260,2016-03-31,3,4,89
11,260,2016-04-01,4,5,211
11,260,2016-04-02,4,6,193
11,260,2016-04-03,4,7,132
11,260,2016-04-04,4,1,86
11,260,2016-04-05,4,2,70
11,260,2016-04-06,4,3,63
11,260,2016-04-07,4,4,63
11,260,2016-04-08,4,5,58
11,260,2016-04-09,4,6,54
11,260,2016-04-10,4,7,60
11,260,2016-04-11,4,1,72
11,260,2016-04-12,4,2,47
11,260,2016-04-13,4,3,56
11,260,2016-04-14,4,4,61
11,260,2016-04-15,4,5,54
11,260,2016-04-16,4,6,67
11,260,2016-04-17,4,7,49
11,260,2016-04-18,4,1,61
11,260,2016-04-19,4,2,59
11,260,2016-04-20,4,3,58
11,260,2016-04-21,4,4,53
11,260,2016-04-22,4,5,69
11,260,2016-04-23,4,6,53
11,260,2016-04-24,4,7,52
11,260,2016-04-25,4,1,71
11,260,2016-04-26,4,2,62
11,260,2016-04-27,4,3,78
11,260,2016-04-28,4,4,82
11,260,2016-04-29,4,5,222
11,260,2016-04-30,4,6,152
11,260,2016-05-01,5,7,120
11,260,2016-05-02,5,1,117
11,260,2016-05-03,5,2,94
11,260,2016-05-04,5,3,76
11,260,2016-05-05,5,4,68
11,260,2016-05-06,5,5,60
11,260,2016-05-07,5,6,56
11,260,2016-05-08,5,7,44
11,260,2016-05-09,5,1,40
11,260,2016-05-10,5,2,54
11,260,2016-05-11,5,3,58
11,260,2016-05-12,5,4,58
11,260,2016-05-13,5,5,76
11,260,2016-05-14,5,6,52
11,260,2016-05-15,5,7,59
11,260,2016-05-16,5,1,62
11,260,2016-05-17,5,2,55
11,260,2016-05-18,5,3,46
11,260,2016-05-19,5,4,71
11,260,2016-05-20,5,5,62
11,260,2016-05-21,5,6,62
11,260,2016-05-22,5,7,61
11,260,2016-05-23,5,1,49
11,260,2016-05-24,5,2,52
11,260,2016-05-25,5,3,59
11,260,2016-05-26,5,4,65
11,260,2016-05-27,5,5,61
11,260,2016-05-28,5,6,62
11,260,2016-05-29,5,7,58
11,260,2016-05-30,5,1,64
11,260,2016-05-31,5,2,49
